,coin,exchange
376,QNTU,"['HitBTC', 'HitBTC', 'Bit-Z']"
377,SALT,"['HitBTC', 'Huobi Global', 'Binance', 'Upbit', 'Bittrex', 'Huobi Global', 'HitBTC', 'Huobi Global', 'Binance', 'Upbit', 'Bittrex', 'Huobi Global', 'Bithumb', 'Upbit', 'Bittrex', 'HitBTC']"
378,RND,"['Uniswap (v2)', 'Uniswap (v2)']"
379,LOCK,"['Uniswap (v2)', 'Uniswap (v2)']"
380,DTR,"['HitBTC', 'HitBTC']"
381,AUCTION,"['Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap']"
382,OCCT,"['Uniswap (v2)', 'Uniswap (v2)']"
383,EVC,"['Uniswap (v3)', 'Uniswap (v3)']"
384,RLC,"['Bittrex', 'Coinbase Exchange', 'Ethfinex', 'Bithumb', 'Uniswap (v2)', 'Bittrex', 'Coinbase Exchange', 'Ethfinex', 'Bithumb', 'Uniswap (v2)', 'Bittrex', 'Ethfinex']"
385,BETA,"['Binance', 'Binance']"
386,ATA,"['Binance', 'Binance', 'Binance', 'Binance', 'PancakeSwap']"
387,XPD,"['YoBit', 'YoBit']"
388,F11,"['Uniswap (v2)', 'Uniswap (v2)']"
389,$dcap,"['PancakeSwap', 'PancakeSwap']"
390,LTC,"['Liquid', 'Binance US', 'FTX', 'BitBay', 'Btcbox', 'Bitbank', 'Poloniex', 'Gatecoin', 'LMAX', 'Liquid', 'Binance US', 'FTX', 'BitBay', 'Btcbox', 'Bitbank', 'Poloniex', 'Gatecoin', 'LMAX', 'Okcoin', 'Binance', 'Stronghold', 'TheRockTrading', 'Bittrex', 'Bitlish', 'BTC-Alpha', 'Currency.com', 'CEX.IO', 'ZB', 'Binance', 'Coinbase Exchange', 'Binance', 'OKEx', 'Tidex', 'Bitlish', 'BeQuant', 'EXX', 'BigONE', 'HitBTC']"
391,JOE,"['Trader Joe', 'Trader Joe', 'Trader Joe']"
392,HOT,"['Uniswap (v2)', 'OKEx', 'Binance', 'Uniswap (v3)', 'Uniswap (v2)', 'OKEx', 'Binance', 'Uniswap (v3)', 'Binance', 'BigONE', 'Huobi Global']"
393,FAM,"['PancakeSwap', 'PancakeSwap']"
394,AQU,"['SpiritSwap', 'SpiritSwap']"
395,SHELL,"['PancakeSwap', 'PancakeSwap']"
396,bountie,"['Apeswap', 'Apeswap']"
397,OCTO,"['Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)']"
398,VIDZ,"['YoBit', 'YoBit']"
399,SNGLS,"['Ethfinex', 'Bitfinex', 'Ethfinex', 'Bitfinex', 'Binance', 'EXX', 'Bitfinex', 'OKEx', 'EXX', 'Bitfinex']"
400,TUSD,"['SouthXchange', 'Uniswap (v2)', 'Uniswap (v2)', 'Binance', 'SouthXchange', 'Uniswap (v2)', 'Uniswap (v2)', 'Binance', 'CEX.IO', 'Uniswap (v2)', 'Uniswap (v2)', 'ZB', 'Uniswap (v2)', 'PancakeSwap', 'Curve']"
401,BTCN,"['PancakeSwap', 'PancakeSwap']"
402,SIP,"['PancakeSwap', 'PancakeSwap']"
403,GOMAX,"['PancakeSwap', 'PancakeSwap']"
404,ROBOT,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v2)']"
405,CBG,"['Uniswap (v2)', 'Uniswap (v2)']"
406,IAG,"['Uniswap (v3)', 'Uniswap (v3)']"
407,BTCB,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'PancakeSwap', 'PancakeSwap']"
408,WSB,"['PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)']"
409,XPM,"['BTC38', 'BTC38', 'bx.in.th']"
410,LOGE,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
411,PRQ,"['Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v3)']"
412,st,"['PancakeSwap', 'PancakeSwap']"
413,GHST,"['Uniswap (v2)', 'Bibox', 'Uniswap (v2)', 'Bibox', 'Poloniex', 'Sushiswap', 'OKEx', 'Kraken']"
414,GXT,"['Uniswap (v3)', 'Uniswap (v3)']"
415,ZEN,"['HitBTC', 'Coinbase Exchange', 'HitBTC', 'Coinbase Exchange', 'EXX', 'Bittrex', 'Binance US']"
416,LND,"['HitBTC', 'HitBTC', 'Liquid', 'Uniswap (v3)']"
417,FREE,"['PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)']"
418,VERO,"['PancakeSwap', 'PancakeSwap']"
419,ZINA,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
420,SNT,"['Upbit', 'Upbit', 'Gatecoin', 'Binance', 'Balancer (v1)', 'Ethfinex', 'Balancer (v1)', 'YoBit', 'Balancer (v1)', 'Poloniex']"
421,PICKLE,"['Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)', 'Bibox', 'Uniswap (v2)']"
422,PUMPKIN,"['PancakeSwap', 'PancakeSwap']"
423,HBT,"['Uniswap (v2)', 'Uniswap (v2)', 'HitBTC']"
424,IOTX,"['Coinbase Exchange', 'Coinbase Exchange', 'PancakeSwap', 'KuCoin', 'Bittrex', 'Huobi Global', 'Binance', 'Bittrex']"
425,ELC,"['Bitforex', 'Bitforex', 'Bitforex']"
426,PPN,"['Uniswap (v2)', 'Uniswap (v2)']"
427,AXS,"['Bithumb', 'Kraken', 'Balancer (v2)', 'Binance', 'Bithumb', 'Kraken', 'Balancer (v2)', 'Binance', 'Uniswap (v3)', 'Coinbase Exchange', 'Balancer (v2)']"
428,WAN,"['KuCoin', 'KuCoin', 'Huobi Global']"
429,BADGER,"['Binance', 'Binance', 'Coinbase Exchange', 'FTX', 'Uniswap (v2)']"
430,BHSC,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)']"
431,MONI,"['PancakeSwap', 'PancakeSwap']"
432,EFIL,"['Sushiswap', 'Sushiswap', 'Uniswap (v2)']"
433,SPELL,"['Huobi Global', 'Uniswap (v2)', 'Binance', 'Huobi Global', 'Uniswap (v2)', 'Binance', 'SpookySwap', 'Binance', 'SpiritSwap', 'OKEx']"
434,UBXT,"['Uniswap (v2)', 'Uniswap (v2)']"
435,FXT,"['HitBTC', 'HitBTC']"
436,ZLW,"['Uniswap (v2)', 'Uniswap (v2)']"
437,COPYCAT,"['Apeswap', 'Apeswap']"
438,DUSK,"['Uniswap (v2)', 'Uniswap (v2)', 'Binance', 'Bitfinex', 'Bittrex', 'Binance', 'Binance', 'Binance']"
439,MTL,"['Bittrex', 'Bittrex', 'Bancor', 'Bittrex', 'Bittrex', 'Bancor', 'ZB', 'OKEx', 'Bithumb']"
440,YCT,"['PancakeSwap', 'PancakeSwap']"
441,GMT,"['Bittrex', 'PancakeSwap', 'Bittrex', 'PancakeSwap', 'Binance', 'PancakeSwap', 'Coinbase Exchange']"
442,IHF,"['Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)']"
443,BOSS,"['PancakeSwap', 'PancakeSwap']"
444,SPORE,"['PancakeSwap', 'PancakeSwap', 'Trader Joe']"
445,KRM,"['HitBTC', 'HitBTC']"
446,GAMEBOX,"['PancakeSwap', 'PancakeSwap']"
447,MGH,"['Uniswap (v3)', 'Uniswap (v3)']"
448,OTN,"['HitBTC', 'HitBTC']"
449,CHINU,"['Uniswap (v2)', 'Uniswap (v2)']"
450,FCT,"['Upbit', 'Upbit']"
451,MBOX,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
452,waru,"['Sushiswap', 'Sushiswap']"
453,BTCD,"['Bittrex', 'Bittrex']"
454,KCASH,"['EXX', 'Huobi Global', 'EXX', 'Huobi Global', 'Huobi Global']"
455,BOE,"['Bibox', 'Bibox']"
456,TGBP,"['Balancer (v1)', 'Balancer (v1)']"
457,RAZOR,"['Uniswap (v2)', 'Uniswap (v2)']"
458,FEI,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)']"
459,FLOAT,"['Sushiswap', 'Sushiswap']"
460,COD,"['PancakeSwap', 'PancakeSwap']"
461,LAZYSHIBA,"['PancakeSwap', 'PancakeSwap']"
462,xca,"['PancakeSwap', 'PancakeSwap']"
463,KOMPETE,"['Uniswap (v2)', 'Uniswap (v2)']"
464,CTSI,"['Binance', 'Bithumb', 'Binance', 'Bithumb', 'Uniswap (v3)', 'Uniswap (v2)']"
465,SNN,"['PancakeSwap', 'PancakeSwap']"
466,ETHMNY,"['Sushiswap', 'Balancer (v1)', 'Sushiswap', 'Balancer (v1)', 'Uniswap (v3)']"
467,NANO,"['HitBTC', 'Kraken', 'Huobi Global', 'Binance', 'HitBTC', 'Kraken', 'Huobi Global', 'Binance', 'Kraken', 'EXX']"
468,SPRKL,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
469,brg,"['PancakeSwap', 'PancakeSwap']"
470,CNTR,"['Sushiswap', 'Sushiswap', 'Uniswap (v2)']"
471,OLIVE,"['PancakeSwap', 'PancakeSwap']"
472,SGB,"['Bitfinex', 'Bitfinex', 'Bitstamp']"
473,NEC,"['Ethfinex', 'Ethfinex', 'Bitfinex']"
474,X8X,"['Uniswap (v2)', 'Uniswap (v2)']"
475,SUPERBID,"['Uniswap (v2)', 'Uniswap (v2)']"
476,FETCH,"['PancakeSwap', 'PancakeSwap']"
477,CDS,"['PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)']"
478,OMG,"['Kraken', 'KuCoin', 'Upbit', 'Kraken', 'KuCoin', 'Upbit', 'CoinEx', 'Bancor', 'Bittrex', 'Bibox', 'Upbit', 'Liquid', 'BigONE', 'Huobi Global', 'Bitfinex']"
479,ATOM,"['OKEx', 'Huobi Global', 'Coinbase Exchange', 'Bitfinex', 'Kraken', 'OKEx', 'Huobi Global', 'Coinbase Exchange', 'Bitfinex', 'Kraken', 'Bibox', 'Binance', 'Coinbase Exchange', 'Hotbit', 'Okcoin', 'Bitforex', 'Bitfinex', 'Kraken', 'PancakeSwap', 'Hotbit', 'Kraken', 'Poloniex']"
480,SOC,"['Huobi Global', 'Huobi Global', 'OKEx', 'OKEx']"
481,MRK,"['HitBTC', 'HitBTC', 'Liquid']"
482,PLOT,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)']"
483,HEX,"['PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
484,ELON,"['Sushiswap', 'Sushiswap', 'Sushiswap', 'Uniswap (v3)']"
485,VBN,"['PancakeSwap', 'PancakeSwap']"
486,PKG,"['Uniswap (v3)', 'Uniswap (v3)']"
487,ALPHA,"['Trader Joe', 'Uniswap (v2)', 'Trader Joe', 'Uniswap (v2)', 'Bitstamp', 'KuCoin', 'OKEx', 'Binance', 'Binance']"
488,MBL,"['Binance', 'Binance']"
489,PND,"['YoBit', 'YoBit']"
490,ALBT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
491,ORAI,"['PancakeSwap', 'KuCoin', 'PancakeSwap', 'KuCoin']"
492,ACED,"['Uniswap (v2)', 'Uniswap (v2)']"
493,SEELE,"['Uniswap (v2)', 'Uniswap (v2)', 'CoinEx', 'CoinEx', 'Huobi Global']"
494,TSP,"['PancakeSwap', 'PancakeSwap']"
495,QRDO,"['KuCoin', 'CoinEx', 'KuCoin', 'CoinEx', 'Uniswap (v2)', 'Uniswap (v3)']"
496,RYOSHI,"['Uniswap (v2)', 'Uniswap (v2)']"
497,TAT,"['PancakeSwap', 'PancakeSwap']"
498,YOU,"['OKEx', 'OKEx', 'Bittrex']"
499,BORA,"['BigONE', 'BigONE', 'OKEx']"
500,IBETH,"['Uniswap (v2)', 'Uniswap (v2)']"
501,OCEAN,"['Sushiswap', 'Bit-Z', 'Balancer (v1)', 'Sushiswap', 'Bit-Z', 'Balancer (v1)', 'Uniswap (v2)', 'CEX.IO', 'Binance', 'Uniswap (v2)', 'YoBit', 'Balancer (v1)', 'Hotbit']"
502,QASH,"['EXX', 'Bitfinex', 'EXX', 'Bitfinex']"
503,dlc,"['Trader Joe', 'Trader Joe']"
504,singme,"['PancakeSwap', 'PancakeSwap']"
505,LOOMOLD,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)']"
506,BLT,"['Uniswap (v3)', 'Uniswap (v3)']"
507,QRL,"['Upbit', 'Bittrex', 'Upbit', 'Bittrex']"
508,ALPINE,"['Binance', 'Binance', 'Binance']"
509,AVS,"['Uniswap (v2)', 'Uniswap (v2)']"
510,BLC,"['Bittrex', 'Bittrex']"
511,BANKBTC,"['Uniswap (v2)', 'Uniswap (v2)']"
512,RGEN,"['PancakeSwap', 'PancakeSwap']"
513,LEV,"['OKEx', 'OKEx', 'OKEx', 'OKEx', 'Uniswap (v2)', 'PancakeSwap']"
514,TRIBE,"['CoinEx', 'Coinbase Exchange', 'CoinEx', 'Coinbase Exchange', 'Bibox', 'Balancer (v2)']"
515,SAND,"['Huobi Global', 'Balancer (v2)', 'Bitstamp', 'BigONE', 'Gemini', 'Huobi Global', 'Balancer (v2)', 'Bitstamp', 'BigONE', 'Gemini', 'Uniswap (v3)', 'Uniswap (v2)', 'Binance', 'Uniswap (v3)', 'Upbit', 'Uniswap (v2)', 'Kraken', 'Uniswap (v2)']"
516,LON,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
517,vtg,"['Apeswap', 'Apeswap', 'Apeswap', 'Apeswap']"
518,FRAK,"['Uniswap (v3)', 'Uniswap (v3)']"
519,MFT,"['Binance', 'Balancer (v1)', 'Binance', 'Balancer (v1)', 'Upbit', 'HitBTC', 'Binance', 'Binance', 'Bittrex']"
520,REX,"['HitBTC', 'HitBTC']"
521,REEF,"['Bitfinex', 'Bitfinex', 'HitBTC']"
522,GSWAP,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)']"
523,BELUGA,"['PancakeSwap', 'PancakeSwap']"
524,TOMOE,"['Uniswap (v2)', 'Uniswap (v2)']"
525,3CRV,"['Curve', 'Curve', 'Curve', 'Curve', 'Curve', 'Curve', 'Curve', 'Curve', 'Uniswap (v3)']"
526,NLG,"['YoBit', 'YoBit']"
527,PLAY,"['Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap']"
528,XCV,"['PancakeSwap', 'PancakeSwap', 'Apeswap']"
529,arti,"['PancakeSwap', 'PancakeSwap']"
530,INT,"['Bitfinex', 'Bitfinex']"
531,OOKS,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap']"
532,KEY,"['Uniswap (v2)', 'Uniswap (v2)', 'Binance', 'Uniswap (v3)']"
533,API3,"['Balancer (v1)', 'Balancer (v1)']"
534,KISHU,"['OKEx', 'OKEx']"
535,SMDX,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
536,AU,"['PancakeSwap', 'PancakeSwap']"
537,ENJ,"['Coinbase Exchange', 'Liquid', 'Huobi Global', 'Binance', 'Binance', 'Coinbase Exchange', 'Liquid', 'Huobi Global', 'Binance', 'Binance', 'Balancer (v2)', 'Korbit', 'Bancor', 'Bitstamp', 'Binance']"
538,FLURRY,"['PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap']"
539,1ST,"['EXX', 'EXX', 'OKEx']"
540,WRK,"['Uniswap (v2)', 'Uniswap (v2)']"
541,BTG,"['CEX.IO', 'AnyBits', 'CEX.IO', 'AnyBits', 'Bit-Z', 'BeQuant', 'Bitlish', 'Bitibu', 'Coinone', 'Bitlish', 'Bittrex']"
542,8BIT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
543,SEN,"['Ethfinex', 'Ethfinex']"
544,MOO,"['PancakeSwap', 'PancakeSwap', 'Ubeswap', 'PancakeSwap']"
545,MATE,"['PancakeSwap', 'PancakeSwap']"
546,BTS,"['Binance', 'Binance', 'EXX', 'Upbit', 'PancakeSwap', 'ZB']"
547,BLN,"['PancakeSwap', 'PancakeSwap']"
548,ETN,"['KuCoin', 'KuCoin']"
549,MIM,"['SpookySwap', 'SpiritSwap', 'Solarbeam', 'SpookySwap', 'Uniswap (v3)', 'SpookySwap', 'SpiritSwap', 'Solarbeam', 'SpookySwap', 'Uniswap (v3)', 'SpiritSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'SpookySwap', 'Trader Joe', 'Trader Joe', 'SpookySwap', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'SpookySwap', 'Sushiswap']"
550,ANC,"['CoinEx', 'KuCoin', 'Bitfinex', 'CoinEx', 'CoinEx', 'KuCoin', 'Bitfinex', 'CoinEx', 'OKEx', 'FTX']"
551,ZOM,"['Uniswap (v2)', 'Uniswap (v2)']"
552,UCT,"['OKEx', 'OKEx', 'Bittrex']"
553,CNDL,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)']"
554,YI12,"['Uniswap (v2)', 'Uniswap (v2)']"
555,GRC,"['Poloniex', 'Poloniex', 'EXX']"
556,KWT,"['PancakeSwap', 'PancakeSwap']"
557,laika,"['Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)']"
558,MDS,"['Uniswap (v2)', 'Huobi Global', 'Uniswap (v2)', 'Huobi Global']"
559,HEGIC,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)']"
560,TOPC,"['Huobi Global', 'OKEx', 'Huobi Global', 'OKEx', 'EXX']"
561,PARA,"['Uniswap (v2)', 'Uniswap (v2)', 'YoBit']"
562,TRDG,"['PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)']"
563,BTTOLD,"['Sushiswap', 'Sushiswap']"
564,XTRD,"['Uniswap (v2)', 'Uniswap (v2)']"
565,BCPT,"['Upbit', 'Upbit', 'Binance', 'Binance']"
566,SPND,"['Bittrex', 'Bittrex']"
567,AID,"['Ethfinex', 'Uniswap (v2)', 'Ethfinex', 'Uniswap (v2)', 'Ethfinex']"
568,WMC,"['YoBit', 'YoBit']"
569,SUR,"['HitBTC', 'HitBTC']"
570,HIFI,"['PancakeSwap', 'PancakeSwap']"
571,OM,"['Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Binance']"
572,imv,"['PancakeSwap', 'PancakeSwap']"
573,FIBO,"['PancakeSwap', 'PancakeSwap']"
574,WLO,"['Bitfinex', 'Bitfinex', 'Liquid']"
575,CHADS,"['Uniswap (v2)', 'Uniswap (v2)']"
576,SFI,"['Uniswap (v3)', 'Uniswap (v3)']"
577,FANG,"['SpookySwap', 'SpookySwap']"
578,CBIX,"['PancakeSwap', 'PancakeSwap']"
579,RICH,"['SpookySwap', 'SpookySwap']"
580,DUST,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)']"
581,CUSD,"['Ubeswap', 'Ubeswap', 'Bittrex', 'Ubeswap', 'Ubeswap', 'Okcoin']"
582,BMXX,"['Apeswap', 'Apeswap']"
583,UFO,"['Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)']"
584,SWT,"['HitBTC', 'Bittrex', 'HitBTC', 'Bittrex', 'PancakeSwap']"
585,qwla,"['Uniswap (v3)', 'Uniswap (v3)']"
586,CCT,"['HitBTC', 'HitBTC']"
587,REP,"['Kraken', 'Balancer (v1)', 'KuCoin', 'Kraken', 'Balancer (v1)', 'KuCoin', 'Coinbase Exchange', 'EXX', 'Uniswap (v2)', 'Uniswap (v2)', 'AnyBits', 'Currency.com', 'Ethfinex', 'Kraken']"
588,LPK,"['PancakeSwap', 'PancakeSwap']"
589,YFPRO,"['Uniswap (v2)', 'Uniswap (v2)']"
590,AVE,"['Trader Joe', 'Trader Joe', 'Trader Joe']"
591,MINIMONGOOSE,"['Uniswap (v2)', 'Uniswap (v2)']"
592,JST,"['Bithumb', 'Bitfinex', 'OKEx', 'Bithumb', 'Bitfinex', 'OKEx', 'HitBTC', 'Binance', 'HitBTC', 'Binance']"
593,SING,"['Apeswap', 'Apeswap']"
594,GOHM,"['Uniswap (v2)', 'Uniswap (v2)']"
595,LAMB,"['Bibox', 'Uniswap (v2)', 'Huobi Global', 'Bibox', 'Uniswap (v2)', 'Huobi Global', 'Bibox', 'OKEx']"
596,ANT,"['Binance', 'Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Upbit', 'Kraken', 'HitBTC', 'CEX.IO']"
597,WAVAX,"['Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe']"
598,CDT,"['HitBTC', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'Binance', 'Gatecoin', 'PancakeSwap', 'PancakeSwap']"
599,LIGHT,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'EXX', 'EXX']"
600,PLA,"['Bittrex', 'Uniswap (v3)', 'Bittrex', 'Uniswap (v3)', 'Binance', 'Binance', 'Bittrex', 'Uniswap (v2)', 'Binance', 'Coinbase Exchange', 'Binance']"
601,GMX,"['PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v3)']"
602,RIF,"['HitBTC', 'Binance', 'HitBTC', 'Binance', 'Liquid', 'KuCoin']"
603,XVE,"['YoBit', 'YoBit']"
604,ONE,"['PancakeSwap', 'Binance', 'PancakeSwap', 'Binance']"
605,SWFTC,"['Huobi Global', 'Uniswap (v2)', 'HitBTC', 'Poloniex', 'Huobi Global', 'Uniswap (v2)', 'HitBTC', 'Poloniex', 'EXX', 'Huobi Global']"
606,TFUEL,"['Hotbit', 'Hotbit', 'Binance']"
607,MTRL,"['Balancer (v2)', 'Balancer (v2)']"
608,KEEP,"['Binance', 'Binance', 'Uniswap (v3)']"
609,joc,"['Sushiswap', 'Sushiswap']"
610,FLOW,"['HitBTC', 'HitBTC', 'Binance']"
611,NUTS,"['Apeswap', 'Apeswap']"
612,TONCOIN,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'PancakeSwap']"
613,FUSDT,"['SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'Sushiswap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'SpookySwap']"
614,spdc,"['PancakeSwap', 'PancakeSwap']"
615,LORY,"['Apeswap', 'Apeswap']"
616,ORE,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
617,ERC20,"['PancakeSwap', 'PancakeSwap']"
618,DOS,"['Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)']"
619,PSP,"['Balancer (v2)', 'Balancer (v2)']"
620,FUEL,"['ACX', 'ACX', 'HitBTC']"
621,LUMI,"['PancakeSwap', 'PancakeSwap']"
622,shibkiller,"['PancakeSwap', 'PancakeSwap']"
623,WOW,"['PancakeSwap', 'PancakeSwap']"
624,Argon,"['PancakeSwap', 'PancakeSwap']"
625,C20,"['Balancer (v1)', 'Balancer (v1)', 'HitBTC']"
626,IFT,"['HitBTC', 'HitBTC', 'YoBit']"
627,REN,"['Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'CoinEx', 'Huobi Global', 'Sushiswap', 'Liquid', 'Coinbase Exchange']"
628,TRB,"['Binance', 'Huobi Global', 'Balancer (v1)', 'Binance', 'Huobi Global', 'Balancer (v1)', 'OKEx']"
629,shr,"['PancakeSwap', 'PancakeSwap']"
630,BEAM,"['Binance', 'Binance', 'Binance']"
631,BCH,"['Binance', 'Kraken', 'Binance', 'Kraken', 'Bithumb', 'BeQuant', 'Liquid', 'CoinEgg', 'Korbit', 'Upbit', 'YoBit', 'CoinEx', 'TheRockTrading', 'Gemini', 'Bitfinex', 'FTX', 'Binance', 'LMAX', 'Bittrex', 'OKEx', 'Kraken', 'LMAX', 'Bithumb']"
632,ERTHA,"['PancakeSwap', 'PancakeSwap']"
633,ETHOS,"['Bithumb', 'Bithumb', 'Uniswap (v2)', 'HitBTC', 'PancakeSwap', 'Binance']"
634,WDGLD,"['Balancer (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
635,STAKE,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
636,AGI,"['Bitfinex', 'Bitfinex', 'Tidex', 'KuCoin']"
637,ROX,"['Uniswap (v2)', 'Uniswap (v2)']"
638,UPXAU,"['Bittrex', 'Bittrex', 'Bittrex', 'Uniswap (v2)']"
639,LC,"['Apeswap', 'Apeswap']"
640,THETA,"['Bithumb', 'OKEx', 'Bithumb', 'OKEx', 'EXX']"
641,movx,"['PancakeSwap', 'PancakeSwap']"
642,MON,"['PancakeSwap', 'PancakeSwap']"
643,BUTTER,"['PancakeSwap', 'PancakeSwap']"
644,YFRM,"['Uniswap (v2)', 'Uniswap (v2)']"
645,LQD,"['Uniswap (v2)', 'Uniswap (v2)']"
646,BSCB,"['PancakeSwap', 'PancakeSwap']"
647,HARAMBE,"['Uniswap (v3)', 'Uniswap (v3)']"
648,INJ,"['Huobi Global', 'Kraken', 'Huobi Global', 'Kraken']"
649,RUNE,"['Sushiswap', 'Sushiswap', 'Sushiswap', 'Sushiswap', 'Sushiswap', 'FTX', 'HitBTC']"
650,EDO,"['Binance', 'Binance', 'HitBTC', 'OKEx']"
651,QVT,"['PancakeSwap', 'PancakeSwap']"
652,SMS,"['HitBTC', 'AnyBits', 'HitBTC', 'AnyBits']"
653,BCX,"['Huobi Global', 'Huobi Global']"
654,HBAR,"['KuCoin', 'KuCoin', 'Bittrex']"
655,ESD,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap']"
656,POLI,"['Uniswap (v2)', 'Uniswap (v2)']"
657,TCN,"['YoBit', 'YoBit']"
658,CHX,"['HitBTC', 'HitBTC']"
659,DFC,"['PancakeSwap', 'PancakeSwap']"
660,NFTD,"['PancakeSwap', 'PancakeSwap']"
661,FIRO,"['BTC38', 'Binance', 'BTC38', 'Binance', 'Bitforex', 'Binance', 'Hotbit', 'Bittrex']"
662,BICO,"['Huobi Global', 'Huobi Global', 'Coinbase Exchange']"
663,CPU,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)']"
664,tvk,"['Binance', 'Binance']"
665,reef,"['Huobi Global', 'Huobi Global']"
666,SPA,"['Uniswap (v3)', 'Uniswap (v3)', 'SpookySwap']"
667,LQDR,"['Sushiswap', 'SpookySwap', 'Sushiswap', 'SpookySwap', 'SpiritSwap', 'Sushiswap', 'SpookySwap']"
